province,city,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
上海|上海,上海|上海,49.718987,48.93649,24.799652,44.18525,1.5522518,32.421886,275.34494,81.849754,102643.08,1.8755558,-6.3550334
中国香港,九龙城区,32.55279,47.698307,9.56188,29.224264,0.89278406,29.450783,285.946,71.923515,101835.88,-1.8804907,-7.224865
中国香港,元朗,42.55771,63.531082,14.512978,47.680954,1.2911683,16.177452,282.34708,66.14738,101166.49,-3.1419628,-7.8004956
中国香港,大埔区,35.555313,52.089306,9.72355,31.845804,1.0528554,25.293564,284.0481,78.09098,101168.1,-2.1151898,-9.471535
中国香港,西貢,32.47096,48.486202,8.347173,22.536608,0.9151077,31.784348,285.42996,78.37036,101585.35,-1.6096612,-10.06647
內蒙古自治區|内蒙古自治区,乌兰察布市,37.4439,52.41625,26.57709,12.385724,1.2912048,54.794228,251.38127,39.078438,86184.8,4.280784,-0.482026
內蒙古自治區|内蒙古自治区,乌海市,78.67153,131.3305,435.31137,59.08518,3.4532335,13.008818,259.5024,20.779839,86527.63,1.486647,-1.3544216
內蒙古自治區|内蒙古自治区,兴安盟,3.344396,3.786184,2.8730218,1.820837,0.1975627,48.32413,254.16133,55.227894,95197.66,7.7852454,-4.7862387
內蒙古自治區|内蒙古自治区,包头市,33.456776,43.82773,33.61228,10.43474,0.817704,55.589977,252.6448,34.17625,85923.38,3.6809626,-0.31927377
內蒙古自治區|内蒙古自治区,呼伦贝尔市,1.9358904,2.2833571,3.325972,1.9606116,0.20776728,46.850067,247.80797,66.81939,93561.19,5.5268373,-3.9372692
內蒙古自治區|内蒙古自治区,呼和浩特市,141.88466,216.32175,119.61269,53.50302,3.4758544,23.878521,252.96936,40.685448,87003.7,1.1697664,-0.8347596
內蒙古自治區|内蒙古自治区,巴彦淖尔市,18.812792,21.41381,15.634095,7.2757955,0.30581084,54.49652,255.05107,32.7039,87774.94,2.2286386,0.29099762
內蒙古自治區|内蒙古自治区,赤峰市,10.258641,12.476992,8.033296,4.8020163,0.2844449,55.309437,254.68533,51.240913,92342.305,7.3146954,-3.9809449
