province,city,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
上海|上海,上海|上海,79.14895,80.859,35.048225,48.75253,1.3859197,29.787872,275.6596,76.05518,102636.54,1.7981073,-5.515342
中国香港,九龙城区,40.023777,57.988506,11.430653,30.79997,0.95397377,27.732012,286.2675,70.676346,101895.07,-1.5552258,-7.8609643
中国香港,元朗,49.33803,75.393394,20.836748,52.37888,1.3113041,11.638831,283.20035,67.0265,101226.73,-2.887758,-8.197522
中国香港,大埔区,43.12508,63.15511,12.530675,33.925484,1.1169485,23.710648,284.5793,77.31695,101228.945,-1.8878275,-10.038842
中国香港,西貢,40.417683,59.944458,9.604734,23.571005,1.0026239,31.51661,285.80005,77.32789,101644.28,-1.1509528,-10.951584
內蒙古自治區|内蒙古自治区,乌兰察布市,37.047043,51.654938,25.582413,14.569036,0.93834203,45.616146,254.0485,40.823017,85960.04,5.965739,1.0538678
內蒙古自治區|内蒙古自治区,乌海市,79.5995,119.339775,269.68167,43.867466,2.912604,19.267015,261.73587,34.226986,86419.73,5.0468655,-0.7550445
內蒙古自治區|内蒙古自治区,兴安盟,6.234343,7.277522,5.1292424,3.2230344,0.22889608,42.915302,251.26492,63.68179,95332.125,4.8904305,-1.5309573
內蒙古自治區|内蒙古自治区,包头市,48.42139,63.69778,56.406822,16.080643,1.0038093,42.167767,255.26166,37.93663,85701.19,5.766481,1.6546861
內蒙古自治區|内蒙古自治区,呼伦贝尔市,2.8389053,3.4557521,5.002231,2.8343785,0.22437477,47.341152,243.46716,68.08404,93726.11,3.317207,-1.359814
內蒙古自治區|内蒙古自治区,呼和浩特市,117.58094,172.35188,107.373314,39.30341,2.489762,24.957756,254.58885,47.852013,86871.766,2.236667,0.7774329
內蒙古自治區|内蒙古自治区,巴彦淖尔市,23.826197,27.043385,19.15137,7.7087126,0.31760374,44.163536,256.95908,39.712303,87558.94,4.3036613,1.6469243
內蒙古自治區|内蒙古自治区,赤峰市,18.169308,22.729645,18.83094,7.803288,0.40930915,51.7072,254.13484,61.10502,92265.695,5.2216725,-0.80729777
